Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
164463,DESIREE,S,2.2,Perth,John Bryden (Potatoes) Ltd,No
164464,DESIREE,S,4,Perth,John Bryden (Potatoes) Ltd,No
164465,DESIREE,SE,3.6,Perth,John Bryden (Potatoes) Ltd,No
164466,CARA,S,1.1,Perth,Strathmore Potatoes Ltd,No
164467,CARA,S,6.8,Perth,Strathmore Potatoes Ltd,No
164468,HERMES,S,1,Perth,Strathmore Potatoes Ltd,No
164469,MARIS PIPER,S,9,Kincardine,G M Barclay & Sons,No
164470,CARA,S,1.1,Kincardine,G M Barclay & Sons,No
164471,CARA,SE,2.1,Kincardine,G M Barclay & Sons,No
164472,MARKIES,SE,4.2,Kincardine,Agrico UK Ltd,No
164473,MARKIES,S,5.6,Kincardine,Agrico UK Ltd,No
164474,MARKIES,S,1.8,Kincardine,Agrico UK Ltd,No
164476,MARKIES,S,5.3,Kincardine,Agrico UK Ltd,No
164477,HERMES,S,3.8,Perth,Strathmore Potatoes Ltd,No
164478,HERMES,SE,1.7,Perth,Strathmore Potatoes Ltd,No
164479,HERMES,S,8.2,Kincardine,G M Barclay & Sons,No
164480,HERMES,SE,1,Perth,Strathmore Potatoes Ltd,No
164481,HERMES,SE,5.5,Kincardine,G M Barclay & Sons,No
164482,MARIS PIPER,S,1.6,Perth,John Bryden (Potatoes) Ltd,No
164483,HERMES,S,1.1,Aberdeen,G M Barclay & Sons,No
164484,GEMSON,S,0.5,Aberdeen,Grampian Growers,No
164485,GEMSON,S,2.6,Aberdeen,Grampian Growers,No
164486,MARIS PIPER,S,3.6,Perth,John Bryden (Potatoes) Ltd,No
164489,CARA,S,10.7,Kincardine,G M Barclay & Sons,No
164490,CARA,SE,2,Kincardine,G M Barclay & Sons,No
164491,CARA,SE,6.1,Kincardine,G M Barclay & Sons,No
164492,CARA,SE,5.8,Kincardine,G M Barclay & Sons,No
164493,ROYAL,S,13.7,Angus,McCain Potatoes,No
164494,INNOVATOR,SE,12,Angus,McCain Potatoes,No
164498,PREMIERE,PB,0.09,Inverness,McCain Potatoes,No
164499,PREMIERE,SE,0.5,Inverness,McCain Potatoes,No
164500,PREMIERE,S,0.2,Inverness,McCain Potatoes,No
164511,CARA,S,1.8,Perth,Keith D Miller,No
164512,CARA,S,4,Perth,Keith D Miller,No
164513,MARIS PIPER,S,2.4,Perth,Keith D Miller,No
164514,HERMES,E,3.6,Perth,Keith D Miller,No
164515,DESIREE,E,1.9,Angus,Firm of R B Millar,No
164516,CARA,SE,3.6,Angus,Firm of R B Millar,No
164519,MARFONA,E,4.7,Angus,Firm of R B Millar,No
164520,HERMES,SE,1.2,Angus,Firm of R B Millar,No
164521,MARFONA,S,2.9,Angus,Firm of R B Millar,No
164522,MARIS PIPER,S,1.2,Angus,Firm of R B Millar,No
164523,VENEZIA,SE,3.9,Angus,Greenvale AP,No
164524,ADIB,S,1.7,Angus,Cullen Allen Ltd,No
164526,ESTIMA,S,3,Angus,Firm of R B Millar,No
164527,CARA,SE,5.1,Angus,Firm of R B Millar,No
164528,DESIREE,SE,3,Angus,Firm of R B Millar,No
164529,HERMES,S,3.1,Angus,Firm of R B Millar,No
164530,ESTIMA,S,0.7,Angus,Firm of R B Millar,No
164531,DESIREE,S,0.8,Angus,Firm of R B Millar,No
164532,KINGSMAN,S,1,Angus,Cygnet Potato Breeders Ltd,No
164533,NAVAN,S,1.4,Angus,Cygnet Potato Breeders Ltd,No
164534,KINGSMAN,S,3.3,Angus,Cygnet Potato Breeders Ltd,No
164535,DESIREE,S,1.8,Angus,Firm of R B Millar,No
164536,CARA,S,2.3,Angus,Firm of R B Millar,No
164537,MARIS PIPER,SE,2,Angus,Firm of R B Millar,No
164538,CARA,SE,3.1,Angus,Firm of R B Millar,No
164539,CARA,E,4,Angus,Firm of R B Millar,No
164540,HERMES,S,1.8,Angus,Firm of R B Millar,No
164541,PINK FIR APPLE,E,3.6,Angus,Salmon Gibston Farms Ltd,No
164542,CHARLOTTE,S,4.4,Angus,Salmon Gibston Farms Ltd,No
164543,MARIS PEER,S,0.8,Angus,Salmon Gibston Farms Ltd,No
164544,NICOLA,S,3.9,Kincardine,Salmon Gibston Farms Ltd,No
164545,CHARLOTTE,S,8,Kincardine,Salmon Gibston Farms Ltd,No
164546,MARIS PEER,S,4.1,Kincardine,Salmon Gibston Farms Ltd,No
164547,MARIS PEER,S,4.3,Kincardine,Salmon Gibston Farms Ltd,No
164548,CHARLOTTE,SE,3.3,Kincardine,Salmon Gibston Farms Ltd,No
164549,BELLE DE FONTENAY,SE,0.3,Kincardine,Salmon Gibston Farms Ltd,No
164550,MARIS PIPER,S,2.7,Kincardine,Salmon Gibston Farms Ltd,No
164551,CHARLOTTE,SE,0.6,Kincardine,Salmon Gibston Farms Ltd,No
164556,NAVAN,S,0.5,Angus,Cygnet Potato Breeders Ltd,No
164557,ARCADE,S,0.1,Moray,Mercian Limited,No
164558,ORCHESTRA,S,0.1,Moray,Meijer Potato UK,No
164559,MELODY,S,0.1,Moray,Meijer Potato UK,No
164560,SAXON,S,4.4,Perth,Cygnet Potato Breeders Ltd,No
164561,SAXON,S,3.6,Perth,Cygnet Potato Breeders Ltd,No
164562,SAXON,S,0.4,Perth,Cygnet Potato Breeders Ltd,No
164566,CARA,SE,4.6,Perth,Strathmore Potatoes Ltd,No
164567,ARRAN PILOT,S,3.2,Perth,John Bryden (Potatoes) Ltd,No
164568,CARA,PB,0.033,Aberdeen,A T Wilson & Co,No
164570,MARIS PEER,S,11,Ross,Easter Ross Potatoes,No
164572,MARIS PEER,S,1.9,Ross,Easter Ross Potatoes,No
164573,ARSENAL,S,0.5,Aberdeen,Agrico UK Ltd,No
164574,MANITOU,S,0.5,Aberdeen,Agrico UK Ltd,No
164575,MARIS PIPER,S,4.3,Ross,Easter Ross Potatoes,No
164576,MARIS PEER,S,0.6,Ross,Easter Ross Potatoes,No
164577,MANITOU,S,3.4,Aberdeen,Agrico UK Ltd,No
164578,CHARLOTTE,S,10,Ross,Easter Ross Potatoes,No
164579,ARSENAL,S,3.4,Aberdeen,Agrico UK Ltd,No
164580,ELECTRA,S,0.4,Aberdeen,IPM Potato Group Ltd,No
164581,HERMES,SE,2.5,Aberdeen,George Ferries Ltd,No
164582,HERMES,E,4.2,Aberdeen,George Ferries Ltd,No
164583,ROOSTER,S,0.2,Aberdeen,IPM Potato Group Ltd,No
164584,ALEXANDRA,S,3,Ross,Albert Bartlett & Sons (Airdrie) Ltd,No
164585,ELECTRA,SE,5.6,Aberdeen,IPM Potato Group Ltd,No
164586,BABY LOU,S,1.4,Ross,Solana Seeds United Kingdom Ltd,No
164587,EDISON,S,0.5,Ross,Solana Seeds United Kingdom Ltd,No
164588,DESIREE,S,1.5,Aberdeen,Ian Cruickshank (Potatoes) Ltd,No
164589,DESIREE,S,6.5,Aberdeen,Ian Cruickshank (Potatoes) Ltd,No
